vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
Alchemy Lounge Aesthetics & Wellness,alchemyloungewellness.com,alchemyloungewellness@gmail.com,alchemyloungewellness@gmail.com,yes,ok,https://alchemyloungewellness.com,medspa,,1
Artisan Aesthetics,artisanaestheticsomaha.com,info@artisanaestheticsomaha.com,info@artisanaestheticsomaha.com,yes,ok,https://artisanaestheticsomaha.com,medspa,nad+,3
Azura Skin Care Center,azuraskin.com,hello@azuraskin.com,hello@azuraskin.com,yes,ok,https://azuraskin.com,medspa,,1
BAM Wellness,bamwellness.com,info@bam-wellness.com,info@bam-wellness.com,yes,ok,https://bamwellness.com,medspa,,1
Beauty Aesthetics Experience,beautyaestheticsexperience.com,info@beautyaestheticsexperience.com,info@beautyaestheticsexperience.com,yes,ok,https://beautyaestheticsexperience.com,medspa,semaglutide,5
Bella Glow Charleston Tox & Filler Boutique,bellaglowcharleston.com,bellaglowcharleston@gmail.com,bellaglowcharleston@gmail.com,yes,ok,https://bellaglowcharleston.com,medspa,"semaglutide, tirzepatide",5
Bella Vita Downtown,bellavitadowntown.com,inquiries@bellavitadowntown.com,inquiries@bellavitadowntown.com,yes,ok,https://bellavitadowntown.com,medspa,"semaglutide, tirzepatide",6
"David Chang, ND, LAc",bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Intention Health and Wellness,bluecypressky.com,info@bluecypressky.com,info@bluecypressky.com,yes,ok,https://bluecypressky.com,medspa,,1
Body Co. Med Spa & Wellness,bodycomedspa.com,admin@bodycomedspa.com,admin@bodycomedspa.com,yes,ok,https://bodycomedspa.com,medspa,nad+,4
Botastic Wellness Center,botasticwellness.com,dbesawhcc@yahoo.com,dbesawhcc@yahoo.com,yes,ok,https://botasticwellness.com,medspa,GLP-1 weight loss peptides,7
Elevate Wellness Group,bryanmw.com,officestaff@bryanmw.com,officestaff@bryanmw.com; daniel@bryanmw.com,yes,ok,https://bryanmw.com,medspa,GLP-1 weight loss peptides,4
Restore Hyper Wellness,carymedicalclinic.com,caryadmin@carymedicalclinic.com,caryadmin@carymedicalclinic.com; morradmin@carymedicalclinic.com,yes,ok,https://carymedicalclinic.com,medspa,GLP-1 weight loss peptides,3
Cc Aesthetics,ccaesthetics.net,cnorsworthy@ccaesthetics.net,cnorsworthy@ccaesthetics.net,yes,ok,https://ccaesthetics.net,medspa,"nad+, glutathione",6
Chrisy Lee Aesthetics,chrisyleeaesthetics.com,chrisypaaesthetics@gmail.com,chrisypaaesthetics@gmail.com,yes,ok,https://chrisyleeaesthetics.com,medspa,tirzepatide,4
Desert Rain Skin Med Spa Scottsdale,desertrainskin.com,info@desertrainskin.com,info@desertrainskin.com,yes,ok,https://desertrainskin.com,medspa,semaglutide,5
DESMADRE SPA,desmadre.co,info@desmadre.co,desmadrespa@gmail.com; info@desmadre.co,yes,ok,https://desmadre.co,medspa,glutathione,1
DOSHA Balanced,doshabalanced.com,info@doshabalanced.com,info@doshabalanced.com,yes,ok,https://doshabalanced.com,medspa,,3
Dream Med Spa & Laser Center,dreammedspa.com,admin@dreammedspa.com,admin@dreammedspa.com,yes,ok,https://dreammedspa.com,medspa,semaglutide,3
ELEVEkc Aesthetics & Wellbeing,elevekc.com,info@elevekc.com,info@elevekc.com,yes,ok,https://elevekc.com,medspa,sermorelin,8
"Gameday Men's Health Cerritos, CA",elitehydrationiv.com,elitehydrationiv@gmail.com,elitehydrationiv@gmail.com,yes,ok,https://elitehydrationiv.com,medspa,glutathione,4
"Emerald Aesthetics, Wellness, and Direct Primary Care",emeraldaestheticsnwa.com,emeraldaestheticsllc@gmail.com,emeraldaestheticsllc@gmail.com,yes,ok,https://emeraldaestheticsnwa.com,medspa,"semaglutide, tirzepatide",6
ShiCares MedSpa,endurehealthdpc.com,info@endurehealthdpc.com,info@endurehealthdpc.com,yes,ok,https://endurehealthdpc.com,medspa,"semaglutide, tirzepatide, nad+, sermorelin, tesamorelin, pt-141",15
Epion Aesthetics & Wellness,epionaestheticsandwellness.com,contact@epionaestheticsandwellness.com,contact@epionaestheticsandwellness.com,yes,ok,https://epionaestheticsandwellness.com,medspa,GLP-1 weight loss peptides,3
Essensa Clinic,essensaclinic.glossgenius.com,hello@essensaclinic.com,hello@essensaclinic.com,yes,ok,https://essensaclinic.glossgenius.com,medspa,GLP-1 weight loss peptides,3
Ethos Medical Spa,ethos-medspa.com,ethosmedicalspa@gmail.com,ethosmedicalspa@gmail.com,yes,ok,https://ethos-medspa.com,medspa,GLP-1 weight loss peptides,4
