vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
"18 Spa CO, Loveland",18spaco.com,info@18spaco.com,info@18spaco.com,yes,ok,https://18spaco.com,medspa,"semaglutide, tirzepatide, bpc-157",11
About Face Aesthetics &amp; Wellness,aboutfaceaesthetics.com,info.aboutfaceaesthetics@gmail.com,info.aboutfaceaesthetics@gmail.com,yes,ok,https://aboutfaceaesthetics.com,medspa,GLP-1 weight loss peptides,4
"Aesthetics 360 Lash &#038; MedSpa, Parker",aesthetics360medspa.com,info@aesthetics360medspa.com,info@aesthetics360medspa.com,yes,ok,https://aesthetics360medspa.com,medspa,,3
"Agenacare Aesthetics, Roanoke",agenacareaesthetics.com,aesthetics@agenacareaesthetics.com,aesthetics@agenacareaesthetics.com,yes,ok,https://agenacareaesthetics.com,medspa,GLP-1 weight loss peptides,2
Ak twisted wellness,aktw.life,info@aktw.life,info@aktw.life,yes,ok,https://aktw.life,vendor,"semaglutide, tirzepatide, nad+, sermorelin",13
Allure Aesthetic Center,alluremedspa.com,info@allure-medspa.com,info@allure-medspa.com,yes,ok,https://alluremedspa.com,medspa,"nad+, semaglutide",11
Alonso Aesthetics &amp; Wellness,alonso-aesthetics.com,info@alonso-aesthetics.com,info@alonso-aesthetics.com,yes,ok,https://alonso-aesthetics.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",10
"Allure Medical Aesthetics, Thousand Oaks",ama-medspa.com,info@ama-medspa.com,info@ama-medspa.com,yes,ok,https://ama-medspa.com,medspa,,1
AndroMAGNUS,andromagnus.com,info@andromagnus.com,info@andromagnus.com,yes,ok,https://andromagnus.com,medspa,"semaglutide, tirzepatide, sermorelin, pt-141, oxytocin",8
Anti-Aging Institute,antiagingky.com,info@antiagingky.com,info@antiagingky.com; u00a0info@antiagingky.com; %20info@antiagingky.com,yes,ok,https://antiagingky.com,medspa,,3
"Ascends Natural Medicine, Casa Grande",ascendsnaturalmedicine.com,info@ascendsnaturalmedicine.com,info@ascendsnaturalmedicine.com; contact@ascendsnaturalmedicine.com,yes,ok,https://ascendsnaturalmedicine.com/contact,medspa,GLP-1 weight loss peptides,3
Atlanta Endocrine Associates,atlantaendocrine.com,contact@atlantaendocrine.com,contact@atlantaendocrine.com,yes,ok,https://atlantaendocrine.com,medspa,GLP-1 weight loss peptides,2
Atlanta Face &amp; Body,atlantafaceandbody.com,info@atlantafaceandbody.com,info@atlantafaceandbody.com,yes,ok,https://atlantafaceandbody.com,medspa,semaglutide,4
Atlanta Wellness Clinic,atlwellnessclinic.com,info@atlwellnessclinic.com,info@atlwellnessclinic.com,yes,ok,https://atlwellnessclinic.com,vendor,GLP-1 weight loss peptides,2
ATX Infusion &amp; Wellness Round Rock TX,atxinfusionandwellness.com,monika.e.rod@gmail.com,monika.e.rod@gmail.com,yes,ok,https://atxinfusionandwellness.com,medspa,"semaglutide, tirzepatide, nad+, ghk-cu, glutathione",11
Avenity Wellness and Hormones,avenitywellness.com,info@avenitywellness.com,info@avenitywellness.com; alison@avenitywellness.com,yes,ok,https://avenitywellness.com,medspa,tirzepatide,4
Awakin Men&#x27;s Health,awakinmenshealth.com,awakin@awakinmenshealth.com,awakin@awakinmenshealth.com,yes,ok,https://awakinmenshealth.com,medspa,"bpc-157, ipamorelin, sermorelin",8
AyaFusion Wellness Downers Grove IL,ayafusion.com,rclark@ayafusion.com,rclark@ayafusion.com,yes,ok,https://ayafusion.com,medspa,"semaglutide, tirzepatide, bpc-157, nad+, sermorelin, pt-141",15
"Bloom Wellness Clinics, LLC (Scottsdale)",azbloomwellness.com,info@azbloomwellness.com,info@azbloomwellness.com,yes,ok,https://azbloomwellness.com,medspa,"semaglutide, tirzepatide, glutathione, liraglutide",13
