vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
1020 Wellness,1020wellness.com,info@1020wellness.com,info@1020wellness.com,yes,ok,https://1020wellness.com,medspa,,1
417 Refine Springfield,417-refine.com,jen@417refine.com,jen@417refine.com,yes,ok,https://417-refine.com,medspa,"semaglutide, retatrutide, bpc-157, tb-500, nad+, ipamorelin",18
"Behr Laser &#038; Skin Care Center, Fresno",435skin.com,behrderm@435skin.com,behrderm@435skin.com,yes,ok,https://435skin.com,medspa,GLP-1 weight loss peptides,3
AAI Rejuvenation Clinic,aaiclinics.com,info@aaiclinics.com,info@aaiclinics.com,yes,ok,https://aaiclinics.com,medspa,,2
Anti-Aging Medical Solutions,aamsh.com,support@aamsh.com,support@aamsh.com; aams.health@gmail.com,yes,ok,https://aamsh.com,medspa,GLP-1 weight loss peptides,2
"Abella Aesthetics, Plymouth",abellaaesthetics.com,medspa@abellaaesthetics.com,medspa@abellaaesthetics.com,yes,ok,https://abellaaesthetics.com,medspa,"semaglutide, tirzepatide, glutathione",8
"Faces Cosmetic Surgery and Med Spa, Tucson",aboutfacescosmetic.com,info@aboutfacescosmetic.com,info@aboutfacescosmetic.com,yes,ok,https://aboutfacescosmetic.com,medspa,semaglutide,4
Absolute Hormone,absolutehormone.com,absolutehormone@gmail.com,absolutehormone@gmail.com,yes,ok,https://absolutehormone.com,medspa,"semaglutide, ipamorelin, sermorelin, tesamorelin, cjc-1295, mots-c",16
Activ8 Health,activ8-health.com,annika@activ8-health.com,annika@activ8-health.com,yes,ok,https://activ8-health.com,medspa,"semaglutide, tirzepatide, nad+, sermorelin, glutathione",17
"ADP Med Services, Tucson",adpmedicalservices.com,adpmedicalservices@yahoo.com,adpmedicalservices@yahoo.com,yes,ok,https://adpmedicalservices.com,medspa,GLP-1 weight loss peptides,4
Advanced Skin Renewal,advancedskinrenewal.com,g.george@advancedskinrenewal.com,g.george@advancedskinrenewal.com,yes,ok,https://advancedskinrenewal.com,medspa,semaglutide,1
Advanced Weight Loss &amp; Wellness Alaska,advancedweightwellnessak.com,info@advancedweightwellnessak.com,info@advancedweightwellnessak.com,yes,ok,https://advancedweightwellnessak.com,medspa,GLP-1 weight loss peptides,2
Advanced Medical Wellness: Medical Wellness Spa,advmedwell.com,info@advmedwell.com,info@advmedwell.com,yes,ok,https://advmedwell.com,medspa,nad+,5
Aesthetically You and Weight Loss Too,aestheticallyyoumedspa.glossgenius.com,fitandsnatched2@gmail.com,fitandsnatched2@gmail.com,yes,ok,https://aestheticallyyoumedspa.glossgenius.com,medspa,"semaglutide, tirzepatide, pt-141, glutathione",7
Age-Undefined Aesthetics,age-undefined.com,scott@age-undefined.com,scott@age-undefined.com,yes,ok,https://age-undefined.com,vendor,"dsip, kpv",6
Ageless Forever,agelessforever.net,info@agelessforever.net,info@agelessforever.net,yes,ok,https://agelessforever.net,medspa,,4
Ageless Health Institute,agelesshealthinstitute.com,office@agelesshealthinstitute.com,office@agelesshealthinstitute.com; u003eoffice@agelesshealthinstitute.com,yes,ok,https://agelesshealthinstitute.com,medspa,GLP-1 weight loss peptides,4
Ageless Medical Spa,agelessmedicalspa.com,info@agelessmedicalspa.com,info@agelessmedicalspa.com,yes,ok,https://agelessmedicalspa.com,medspa,GLP-1 weight loss peptides,2
Ageless Pensacola,agelesspensacola.com,sylvia@agelesspensacola.com,sylvia@agelesspensacola.com,yes,ok,https://agelesspensacola.com,medspa,"semaglutide, tirzepatide",6
Ageless Vitality Center,agelessvitalitycenter.net,wellness@agelessvitalitycenter.net,wellness@agelessvitalitycenter.net,yes,ok,https://agelessvitalitycenter.net,medspa,GLP-1 weight loss peptides,7
"Natalie Teague, APRN, FNP-BC",agelesswellnessgroup.com,hello@agelesswellnessgroup.com,hello@agelesswellnessgroup.com; hello@agelesswellnessgroup.co,yes,ok,https://agelesswellnessgroup.com,medspa,"semaglutide, tirzepatide",6
Advanced Hormone Therapy and Wellness,ahtawellness.com,info@ahtawellness.com,info@ahtawellness.com,yes,ok,https://ahtawellness.com,medspa,,2
Aim Wellness Medical Spa,aimforchange.net,wellness@aimforchange.net,wellness@aimforchange.net,yes,ok,https://aimforchange.net,medspa,GLP-1 weight loss peptides,6
The Wellness Lounge,akwellnesslounge.com,hey@akwellnesslounge.com,hey@akwellnesslounge.com,yes,ok,https://akwellnesslounge.com/contact,medspa,,1
All In One Care Solutions Medical Center,allinonecaresolutions.com,info@allinonecaresolutions.com,info@allinonecaresolutions.com; marcos.ferrero001@gmail.com,yes,ok,https://allinonecaresolutions.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",14
"Allure Laser &#038; Med Spa, Tinley Park",allurelasermedspa.com,allurelasermedspa@gmail.com,allurelasermedspa@gmail.com,yes,ok,https://allurelasermedspa.com,medspa,GLP-1 weight loss peptides,5
Allure Med Spa,alluremedspaep.com,alluremedspa.help@gmail.com,alluremedspa.help@gmail.com; allure.medspabeauty@gmail.com,yes,ok,https://alluremedspaep.com,medspa,glutathione,3
Alpha Rejuvenation,alpha-rejuvenation.com,experts@alpha-rejuvenation.com,experts@alpha-rejuvenation.com,yes,ok,https://alpha-rejuvenation.com,medspa,"retatrutide, bpc-157, tb-500, thymosin beta-4, nad+, ipamorelin",19
Alpine Glow &amp; Wellness,alpineglowandwellness.com,krystalkay@alpineglowandwellness.com,krystalkay@alpineglowandwellness.com,yes,ok,https://alpineglowandwellness.com,medspa,GLP-1 weight loss peptides,3
"Alpine Wellness Clinic, PLLC",alpinewellnessclinic.com,inquires@alpinewellnessclinic.com,inquires@alpinewellnessclinic.com,yes,ok,https://alpinewellnessclinic.com,medspa,nad+,3
