vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
360 Wellness,360wellness.us,info@360wellness.us,info@360wellness.us,yes,ok,https://360wellness.us,medspa,"semaglutide, tirzepatide",10
AAI Rejuvenation,aaiclinics.com,info@aaiclinics.com,info@aaiclinics.com,yes,ok,https://aaiclinics.com,medspa,,2
Franco Wellness & Aesthetics,adanfranco.co,adanfranco.co@gmail.com,adanfranco.co@gmail.com,yes,ok,https://adanfranco.co,medspa,GLP-1 weight loss peptides,4
Age to Perfection,agetoperfection.com,info@agetoperfection.com,info@agetoperfection.com,yes,ok,https://agetoperfection.com,medspa,nad+,1
Alaska Functional Medicine + Spa,akfunctionalmed.com,info@akfunctionalmed.com,info@akfunctionalmed.com; nfo@akfunctionalmed.com,yes,ok,https://akfunctionalmed.com,medspa,,2
"IV/IM Therapy in New York, NY and Watchung, NJ",alynemd.com,care@alynemd.com,care@alynemd.com,yes,ok,https://alynemd.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",10
Biote Provider,annapolisfamilymedicine.org,afm@annapolisfamilymedicine.org,afm@annapolisfamilymedicine.org,yes,ok,https://annapolisfamilymedicine.org,medspa,"semaglutide, tirzepatide",8
Approved Peptides,approvedpeptides.com,support@approvedpeptides.com,support@approvedpeptides.com,yes,ok,https://approvedpeptides.com,vendor,,1
Aspire Functional Medicine (Formerly Fondren Family Medicine),aspirefunctionalmedicine.com,aspirefunctionalmedicine@gmail.com,aspirefunctionalmedicine@gmail.com,yes,ok,https://aspirefunctionalmedicine.com,medspa,,1
Auburn MedAesthetics,auburnmedaesthetics.com,searcykelly@gmail.com,searcykelly@gmail.com,yes,ok,https://auburnmedaesthetics.com,medspa,GLP-1 weight loss peptides,4
Azia Medical Spa,aziamedispa.com,theaziaexperience@gmail.com,theaziaexperience@gmail.com,yes,ok,https://aziamedispa.com,medspa,,2
Azona Health,azonahealth.com,admin@azonahealth.com,admin@azonahealth.com,yes,ok,https://azonahealth.com,medspa,"semaglutide, tirzepatide, liraglutide",15
Beholding Beauty Aesthetics,beholdingbeautyaesthetics.com,info@beholdingbeautyaesthetics.com,%20info@beholdingbeautyaesthetics.com; info@beholdingbeautyaesthetics.com,yes,ok,https://beholdingbeautyaesthetics.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",8
Bella Republic Medspa,bellarepublicmedspa.com,info@bellarepublicmedspa.com,info@bellarepublicmedspa.com; hello@bellarepublicmedspa.com,yes,ok,https://bellarepublicmedspa.com,medspa,"semaglutide, tirzepatide, glutathione",6
"Belle Medical, Palmer",bellemedicalak.com,info@bellemedicalak.com,info@bellemedicalak.com; frontdesk@bellemedicalak.com,yes,ok,https://bellemedicalak.com,medspa,"bpc-157, tb-500, nad+, sermorelin, tesamorelin, mots-c",19
blue sky laser & tox,blueskylasertox.com,hello@blueskylasertox.com,hello@blueskylasertox.com,yes,ok,https://blueskylasertox.com,medspa,"nad+, semaglutide, tirzepatide",10
Boston Direct Health,bostondirecthealth.com,info@bostondirecthealth.com,info@bostondirecthealth.com,yes,ok,https://bostondirecthealth.com,medspa,,3
Carolina Face & Body,carolinafaceandbody.com,carolinafaceandbody@gmail.com,carolinafaceandbody@gmail.com; contactcarolinafaceandbody@gmail.com,yes,ok,https://carolinafaceandbody.com,medspa,GLP-1 weight loss peptides,3
Maryland Center For ARC: IV Infusions Service in Catonsville,centerforarc.com,info@centerforarc.com,%20info@centerforarc.com; info@centerforarc.com,yes,ok,https://centerforarc.com,medspa,,1
The Center for Aesthetics,cfabeautyidahofalls.com,cfabeautyidahofalls@gmail.com,cfabeautyidahofalls@gmail.com,yes,ok,https://cfabeautyidahofalls.com,medspa,,1
Chapin Hormone and Wellness,chapinhormone.com,info@chapinhormone.com,info@chapinhormone.com,yes,ok,https://chapinhormone.com,medspa,GLP-1 weight loss peptides,2
Well Labs+ Medspa Charleston,charleston.wellabsplus.com,charleston@wellabsplus.com,charleston@wellabsplus.com,yes,ok,https://charleston.wellabsplus.com,medspa,"nad+, ghk-cu, glutathione",6
CHS MedSpa,chsmedspa.com,decaturhormones@gmail.com,decaturhormones@gmail.com; aragoncarecenters1@gmail.com,yes,ok,https://chsmedspa.com,medspa,"semaglutide, tirzepatide",7
Complete Aesthetics Care,completeaestheticscare.com,drd@completeaestheticscare.com,drd@completeaestheticscare.com,yes,ok,https://completeaestheticscare.com,medspa,,1
"Complexion Resuscitation Injectables, LLC",crinjectables.com,britnirn13@gmail.com,britnirn13@gmail.com; crinjectables@gmail.com,yes,ok,https://crinjectables.com,medspa,GLP-1 weight loss peptides,3
Divinity Wellness Center,divinitywellnesscenter.com,admin@divinitywellnesscenter.com,admin@divinitywellnesscenter.com,yes,ok,https://divinitywellnesscenter.com,medspa,"nad+, glutathione",4
Drip Bee Mobile IV Hydration Clinic,dripbiv.com,info@dripbiv.com,info@dripbiv.com,yes,ok,https://dripbiv.com,medspa,"nad+, glutathione",4
IV Vitamin and Hydration Therapy,dropfusioniv.com,ingrid@dropfusioniv.com,ingrid@dropfusioniv.com; milan@dropfusioniv.com,yes,ok,https://dropfusioniv.com,medspa,"nad+, glutathione",3
Edge Integrative Wellness,edgeintegrativewellness.com,hello@edgeintegrativewellness.com,hello@edgeintegrativewellness.com,yes,ok,https://edgeintegrativewellness.com,medspa,"semaglutide, nad+, ipamorelin, sermorelin, cjc-1295, glutathione",11
Elevate Aesthetic Medicine,elevateaestheticmedicine.com,carissa@elevateaestheticmedicine.com,carissa@elevateaestheticmedicine.com,yes,ok,https://elevateaestheticmedicine.com,medspa,,1
Elite Anti-Aging Medical Aesthetics Center,eliteanti-aging.com,eliteantiaging@gmail.com,eliteantiaging@gmail.com,yes,ok,https://eliteanti-aging.com,medspa,,1
Elite Body Solutions,elitebodysolutions.net,admin@elitebodysolutions.net,admin@elitebodysolutions.net,yes,ok,https://elitebodysolutions.net,medspa,"cagrilintide, bpc-157, tb-500, nad+, ipamorelin, sermorelin",22
Elite Concierge Recovery Services,eliteconciergerecovery.com,info@eliteconciergerecovery.com,info@eliteconciergerecovery.com,yes,ok,https://eliteconciergerecovery.com,medspa,glutathione,1
Modern Medical Weight Loss,elitehealthelko.com,elitehealthelko@gmail.com,elitehealthelko@gmail.com; litehealthelko@gmail.com,yes,ok,https://elitehealthelko.com,medspa,,3
Elite IV Infusion,eliteinfusionspa.com,eliteinfusion.lexington@gmail.com,eliteinfusion.lexington@gmail.com,yes,ok,https://eliteinfusionspa.com,medspa,"nad+, glutathione",4
Elivate Wellness,elivatewellness.com,staff@elivatewellness.com,staff@elivatewellness.com,yes,ok,https://elivatewellness.com,medspa,,2
IV Fluid Infusions,emeraldaestheticsbykirin.com,emeraldaestheticsbykirin@gmail.com,emeraldaestheticsbykirin@gmail.com,yes,ok,https://emeraldaestheticsbykirin.com,medspa,,1
Eumorphia Medical Aesthetics,eumorphiamedspa.com,hello@eumorphiamedspa.com,hello@eumorphiamedspa.com,yes,ok,https://eumorphiamedspa.com,medspa,"semaglutide, tirzepatide, nad+",11
Evergreen Natural Medicine,evergreennaturalmedicine.com,evergreennaturalmedicine@gmail.com,evergreennaturalmedicine@gmail.com,yes,ok,https://evergreennaturalmedicine.com,medspa,,2
Feminist Center for Reproductive Liberation,feministcenter.org,marketing@feministcenter.org,marketing@feministcenter.org; fwhccean@feministcenter.org,yes,ok,https://feministcenter.org,medspa,,1
Flourish Wellness,flourishwellnessclub.com,info@flourishwellnessclub.com,info@flourishwellnessclub.com,yes,ok,https://flourishwellnessclub.com,medspa,"semaglutide, tirzepatide, retatrutide, bpc-157, thymosin alpha-1, nad+",18
Flow At The One Luxury IV Hydration & Wellness,flowattheone.com,info@flowattheone.com,info@flowattheone.com,yes,ok,https://flowattheone.com,medspa,"semaglutide, tirzepatide, nad+, ipamorelin, sermorelin, tesamorelin",19
Foothill Wellness,foothillwellnessutah.com,hello@foothillwellnessutah.com,hello@foothillwellnessutah.com,yes,ok,https://foothillwellnessutah.com,medspa,"semaglutide, nad+",7
Forest Heights Pharmacy,forestheightspharmacy.com,info@forestheightspharmacy.com,info@forestheightspharmacy.com; compounding@forestheightspharmacy.com,yes,ok,https://forestheightspharmacy.com,medspa,,1
Our Locations,freedomivcenters.com,info@freedomivcenters.com,care@freedomivcenters.com; info@freedomivcenters.com,yes,ok,https://freedomivcenters.com,medspa,"nad+, glutathione",3
Fort Worth Concierge Plus,fwcplus.com,info@fwcplus.com,info@fwcplus.com,yes,ok,https://fwcplus.com,medspa,GLP-1 weight loss peptides,5
GLO Aesthetics Medical Spa,gloaesthetics.com,info@gloaesthetics.com,info@gloaesthetics.com; gloaesthetics.mi@gmail.com,yes,ok,https://gloaesthetics.com,medspa,,1
Growing Younger Clinic,growingyoungerclinic.com,info@growingyoungerclinic.com,info@growingyoungerclinic.com,yes,ok,https://growingyoungerclinic.com,medspa,"semaglutide, tirzepatide",6
Holistic Health Institute,holistichealthinstitute.us,enquiry@holistichealthinstitute.us,enquiry@holistichealthinstitute.us,yes,ok,https://holistichealthinstitute.us/contact,medspa,,2
House of Bloom?? Medical Aesthetics,houseofbloommed.com,info@houseofbloommed.com,info@houseofbloommed.com,yes,ok,https://houseofbloommed.com,medspa,"semaglutide, nad+, glutathione",9
Hydration Lounge,hydrationl.com,iv@hydrationl.com,iv@hydrationl.com,yes,ok,https://hydrationl.com,medspa,nad+,3
