vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
1Aesthetic,1aesthetic.com,skingoods@yahoo.com,skingoods@yahoo.com,yes,ok,https://1aesthetic.com,medspa,"semaglutide, tirzepatide, glutathione",6
4esthetics Lounge,4estheticslounge.com,info@4estheticslounge.com,info@4estheticslounge.com,yes,ok,https://4estheticslounge.com,medspa,"semaglutide, tirzepatide, bpc-157, ipamorelin, sermorelin, ghk-cu",17
AARX Weight Loss Jacksonville,aarxweightloss.com,info@aarxweightloss.com,info@aarxweightloss.com,yes,ok,https://aarxweightloss.com,medspa,"semaglutide, tirzepatide",5
Absolutely Thin,absolutelythin.com,signup-no-reply@absolutelythin.com,signup-no-reply@absolutelythin.com,yes,ok,https://absolutelythin.com,medspa,GLP-1 weight loss peptides,3
Advanced Medical Weight Loss,advancedmedicalweightloss.com,derekmuse@advancedmedicalweightloss.com,derekmuse@advancedmedicalweightloss.com,yes,ok,https://advancedmedicalweightloss.com,medspa,GLP-1 weight loss peptides,3
Peptide Hub “Balance Point”,advancedpeptidetherapy.com,info@advancedpeptidetherapy.com,info@advancedpeptidetherapy.com,yes,ok,https://advancedpeptidetherapy.com,medspa,"semaglutide, bpc-157, tb-500, thymosin beta-4, thymosin alpha-1, nad+",25
Advanced TRT Clinic,advancedtrtclinic.com,info@advancedtrtclinic.com,info@advancedtrtclinic.com,yes,ok,https://advancedtrtclinic.com,medspa,"ipamorelin, cjc-1295",5
Advanced Vitality Hormone Replacement Therapy,advancedvitalitygroup.com,info@advancedvitalitygroup.com,info@advancedvitalitygroup.com,yes,ok,https://advancedvitalitygroup.com,medspa,"semaglutide, tirzepatide, liraglutide",15
Aesthetic Revival,aestheticrevival.com,hello@aestheticrevival.com,hello@aestheticrevival.com,yes,ok,https://aestheticrevival.com,medspa,nad+,5
Ageless Wellness Spa,agewellspa.com,info@agewellspa.com,info@agewellspa.com,yes,ok,https://agewellspa.com,medspa,nad+,5
Alamo Slim Clinic LLC,alamoslimclinic.com,info@alamoslimclinic.com,staff@alamoslimclinic.com; info@alamoslimclinic.com,yes,ok,https://alamoslimclinic.com,medspa,GLP-1 weight loss peptides,7
Alchemy Glow Medspa,alchemyglowmedspa.com,booking@alchemyglowmedspa.com,booking@alchemyglowmedspa.com,yes,ok,https://alchemyglowmedspa.com,medspa,,2
AlphaElite Health,alphaelitehealth.com,clientservices@alphaelitehealth.com,clientservices@alphaelitehealth.com,yes,ok,https://alphaelitehealth.com,medspa,GLP-1 weight loss peptides,6
Amplified Regenerative Health,ampdhealth.net,info@ampdhealth.net,info@ampdhealth.net,yes,ok,https://ampdhealth.net/contact-us,medspa,,3
Achieve Medical Weight Loss,amwl.net,achievedothan@gmail.com,achievedothan@gmail.com; achieve.fayettevillenc@gmail.com; achieve.clarksville@gmail.com; achieve.garner@gmail.com; achieve.wilmington@gmail.com; achieve.jville@gmail.com; achievedyersburgpharmacy@gmail.com; achievemacon@gmail.com,yes,ok,https://amwl.net,vendor,GLP-1 weight loss peptides,3
Anti-Aging Medical Group,antiagingmedicalgroup.com,drselmarashid@gmail.com,drselmarashid@gmail.com,yes,ok,https://antiagingmedicalgroup.com,medspa,,1
A&#x27;Omara Chanel Med Spa,aomarachanelmedspa.com,bpeters@aomarachanelmedspa.com,bpeters@aomarachanelmedspa.com,yes,ok,https://aomarachanelmedspa.com,medspa,"nad+, glutathione",7
Apex Hormone Health,apexhormonehealth.com,info@apexhormonehealth.com,info@apexhormonehealth.com,yes,ok,https://apexhormonehealth.com,medspa,GLP-1 weight loss peptides,7
Aspen Institute for Anti-Aging and Regenerative Medicine,aspen-regenerativemedicine.com,office@aspen-regenerativemedicine.com,office@aspen-regenerativemedicine.com,yes,ok,https://aspen-regenerativemedicine.com,medspa,"nad+, glutathione",6
Aspire Trim Clinic LLC,aspiretrimclinic.com,info@aspiretrimclinic.com,info@aspiretrimclinic.com,yes,ok,https://aspiretrimclinic.com,medspa,GLP-1 weight loss peptides,3
Aspire Weight Loss &amp; Wellness,aspirewlw.com,info@aspirewlw.com,info@aspirewlw.com,yes,ok,https://aspirewlw.com,medspa,"semaglutide, tirzepatide, nad+",13
Nicole Noble Wound Care Specialist,atlanticmedicineva.com,atlanticmedva@gmail.com,atlanticmedva@gmail.com; aimsterlingva@gmail.com; atlanticmedicineva@gmail.com,yes,ok,https://atlanticmedicineva.com,medspa,semaglutide,2
Autumn Sun Wellness,autumnsunwellness.janeapp.com,info@autumnsunwellness.com,info@autumnsunwellness.com,yes,ok,https://autumnsunwellness.janeapp.com,medspa,GLP-1 weight loss peptides,3
AVIVA WOMAN,avivawoman.com,info@avivawoman.com,info@avivawoman.com,yes,ok,https://avivawoman.com,medspa,"semaglutide, tirzepatide",7
Awaken Medical Aesthetics,awakenmedicalaesthetics.com,awaken@awakenmedicalaesthetics.com,awaken@awakenmedicalaesthetics.com; kati@awakenmedicalaesthetics.com,yes,ok,https://awakenmedicalaesthetics.com,medspa,"semaglutide, tirzepatide, bpc-157, nad+",7
AZ TrimFast,aztrimfast.com,contact@aztrimfast.com,contact@aztrimfast.com,yes,ok,https://aztrimfast.com,medspa,"semaglutide, tirzepatide, nad+, kpv",10
Badger State Hydrate &amp; Badger Glow,badgerstatehydrate.janeapp.com,badgerstatehydrate@gmail.com,badgerstatehydrate@gmail.com,yes,ok,https://badgerstatehydrate.janeapp.com,medspa,"semaglutide, tirzepatide, nad+",5
BEAUTY BAR HEALTH &amp; WELLNESS CLINIC,beautybarwellness.com,services@beautybarwellness.com,services@beautybarwellness.com,yes,ok,https://beautybarwellness.com,medspa,GLP-1 weight loss peptides,8
"Bella Sol Medical Spa, PLLC",bellasolmedicalspa.com,info@bellasolmedicalspa.com,info@bellasolmedicalspa.com; ceo@bellasolmedicalspa.com,yes,ok,https://bellasolmedicalspa.com,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, thymosin beta-4, nad+",18
Beyond The Weight,beyondtheweightclt.com,frontdesk@beyondtheweightclt.com,frontdesk@beyondtheweightclt.com,yes,ok,https://beyondtheweightclt.com,medspa,GLP-1 weight loss peptides,3
BioBalance Health,biobalancehealth.com,newpatient@biobalancehealth.com,mckberlf@gmail.com; malkomchanu@gmail.com; hoganbrannon47@gmail.com; movfq9@gmail.com; bremorsyc3@gmail.com; maymardji3@gmail.com; vilyamcaseybp9@gmail.com; adelislove42@gmail.com,yes,ok,https://biobalancehealth.com,medspa,"semaglutide, tirzepatide",5
Biofit of Louisiana,biofitmedclinic.com,info@biofitmedclinic.com,info@biofitmedclinic.com,yes,ok,https://biofitmedclinic.com,medspa,"semaglutide, tirzepatide",5
BioSync Wellness KC,biosynckc.com,info@biosynckc.com,info@biosynckc.com,yes,ok,https://biosynckc.com,medspa,"semaglutide, tirzepatide, bpc-157, ipamorelin, cjc-1295, pt-141",11
Busybird Wellness,busybirdweightloss.com,emily@busybirdweightloss.com,emily@busybirdweightloss.com,yes,ok,https://busybirdweightloss.com,medspa,nad+,4
Camel City Injector,camelcityinjector.com,mail@camelcityinjector.com,camelcityinjector@gmail.com; mail@camelcityinjector.com,yes,ok,https://camelcityinjector.com,medspa,semaglutide,3
Carma Weight Loss,carmaweightloss.net,info@carmaweightloss.net,info@carmaweightloss.net,yes,ok,https://carmaweightloss.net,medspa,GLP-1 weight loss peptides,3
Well Labs+ Medspa Charleston (Formerly Koniver Aesthetics) —,charleston.wellabsplus.com,charleston@wellabsplus.com,charleston@wellabsplus.com,yes,ok,https://charleston.wellabsplus.com,medspa,"nad+, ghk-cu, glutathione",6
Charleston Men&#x27;s Clinic,charlestonmensclinic.com,team@charlestonmensclinic.com,team@charlestonmensclinic.com,yes,ok,https://charlestonmensclinic.com,medspa,"semaglutide, tirzepatide, bpc-157, nad+, sermorelin",8
Charlotte Weight Loss and Wellness Clinic,charlotteweightlossandwellnessclinic.com,info@charlotteweightlossandwellnessclinic.com,info@charlotteweightlossandwellnessclinic.com,yes,ok,https://charlotteweightlossandwellnessclinic.com,medspa,"semaglutide, tirzepatide",8
Chelone Aesthetics and Wellness Center,cheloneaesthetics.com,drboling@cheloneaesthetics.com,drboling@cheloneaesthetics.com,yes,ok,https://cheloneaesthetics.com,medspa,semaglutide,2
Chicago Stem Cell Therapy and Exosomes,chicagostemcelldr.com,info@chicagostemcelldr.com,info@chicagostemcelldr.com,yes,ok,https://chicagostemcelldr.com,medspa,"semaglutide, tirzepatide, nad+",7
Christie MD Functional and Aesthetic Medicine,christiemdfam.com,info@christiemdfam.com,christiemdfam@gmail.com; info@christiemdfam.com,yes,ok,https://christiemdfam.com,medspa,glutathione,5
Ciba Health Inc.,cibahealth.com,support@cibahealth.com,careteam@cibahealth.com; support@cibahealth.com,yes,ok,https://cibahealth.com,medspa,GLP-1 weight loss peptides,2
Clinic 45,clinic45.com,appointments@clinic45.com,appointments@clinic45.com,yes,ok,https://clinic45.com,medspa,"semaglutide, tirzepatide",10
Clinic Concierge Fort Worth,clinicconcierge.com,hello@clinicconcierge.com,hello@clinicconcierge.com; dallas@clinicconcierge.com; fortworth@clinicconcierge.com; houston@clinicconcierge.com; austin@clinicconcierge.com,yes,ok,https://clinicconcierge.com,medspa,"semaglutide, tirzepatide, nad+",9
Complete Health at Green Oaks PLLC.,completehealthatgreenoaks.com,completehealthatgreenoaks@gmail.com,completehealthatgreenoaks@gmail.com,yes,ok,https://completehealthatgreenoaks.com,medspa,GLP-1 weight loss peptides,3
CurateMD Skin Bar and Wellness Clinic,curatemdskinbar.com,info@curatemdskinbar.com,info@curatemdskinbar.com; nichole@curatemdskinbar.com,yes,ok,https://curatemdskinbar.com,medspa,"semaglutide, tirzepatide, bpc-157, ipamorelin, sermorelin, cjc-1295",10
D5 Health,d5health.com,admin@d5health.com,admin@d5health.com,yes,ok,https://d5health.com,medspa,,4
DevotedDOc Suboxone and General Medicine Orlando,devoteddoc.com,contact@devoteddoc.com,contact@devoteddoc.com,yes,ok,https://devoteddoc.com,medspa,,1
Diamond Hormone Replacement Therapy,diamondhrt.com,zegonzo@gmail.com,zegonzo@gmail.com,yes,ok,https://diamondhrt.com,medspa,,2
Doctor&#x27;s Weight Control,doctorsweightcontrol.com,support@doctorsweightcontrol.com,support@doctorsweightcontrol.com,yes,ok,https://doctorsweightcontrol.com,medspa,"semaglutide, tirzepatide",3
"Howard M. Shapiro Medical Associates, P.C.",drhowardshapiro.com,info@drhowardshapiro.com,info@drhowardshapiro.com,yes,ok,https://drhowardshapiro.com,medspa,semaglutide,4
DRIP ZONE OMAHA LLC,dripzoneomaha.janeapp.com,dripzoneomaha@gmail.com,dripzoneomaha@gmail.com,yes,ok,https://dripzoneomaha.janeapp.com,medspa,,1
"Dr S Weightloss &amp; Wellness, Prevents and Treats Diabetes —",drswaw.com,contact@drswaw.com,contact@drswaw.com,yes,ok,https://drswaw.com,medspa,GLP-1 weight loss peptides,2
EHormones MD,ehormones.com,rendro87@gmail.com,rendro87@gmail.com,yes,ok,https://ehormones.com,medspa,GLP-1 weight loss peptides,5
Elements of Therapy,elementsoftherapy.com,info@elementsoftherapy.com,info@elementsoftherapy.com,yes,ok,https://elementsoftherapy.com,medspa,"semaglutide, tirzepatide",4
Elevated Medical Group,elevatedmedgroup.com,douglas@elevatedmedgroup.com,douglas@elevatedmedgroup.com,yes,ok,https://elevatedmedgroup.com,medspa,"semaglutide, bpc-157, nad+, ipamorelin, sermorelin, cjc-1295",12
Elevate Functional Medicine,elevatefunctionalmed.com,hello@elevatefunctionalmed.com,hello@elevatefunctionalmed.com,yes,ok,https://elevatefunctionalmed.com,medspa,"bpc-157, thymosin alpha-1, ipamorelin, cjc-1295, ghk-cu",11
Elite Beauty,elitebeautytoledo.com,elitebeautytoledo@gmail.com,elitebeautytoledo@gmail.com,yes,ok,https://elitebeautytoledo.com,medspa,"semaglutide, nad+, sermorelin, tesamorelin",9
Elite Health Center,elitehealthcenter.com,info@elitehealthcenter.com,info@elitehealthcenter.com,yes,ok,https://elitehealthcenter.com,medspa,GLP-1 weight loss peptides,6
Elite Health Center NYC,elitehealthcenternyc.com,support@elitehealthcenternyc.com,support@elitehealthcenternyc.com,yes,ok,https://elitehealthcenternyc.com,medspa,"semaglutide, tirzepatide, liraglutide, nad+, sermorelin, glutathione",16
Endless Vitality,endlessvitality.com,secure@endlessvitality.com,secure@endlessvitality.com,yes,ok,https://endlessvitality.com,medspa,GLP-1 weight loss peptides,7
EverYouth Wellness Clinic,everyouthmn.com,info@everyouthmn.com,info@everyouthmn.com,yes,ok,https://everyouthmn.com,medspa,tirzepatide,1
Evexia Weight Loss and Wellness Clinic,evexianp.com,info@evexianp.com,info@evexianp.com,yes,ok,https://evexianp.com,medspa,"semaglutide, nad+, tirzepatide, liraglutide, dulaglutide",19
Evolution Health Services,evolutionhealthservices.com,questions@evolutionhealthservices.com,questions@evolutionhealthservices.com,yes,ok,https://evolutionhealthservices.com,medspa,"ipamorelin, sermorelin",4
Extraordinary Wellness,extraordinarywellnessnc.com,ewellnessaa@gmail.com,ewellnessaa@gmail.com,yes,ok,https://extraordinarywellnessnc.com,medspa,GLP-1 weight loss peptides,4
