vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
127 SKIN Aesthetics + Dermatology,127skincrossville.com,127skincrossville@gmail.com,127skincrossville@gmail.com,yes,ok,https://127skincrossville.com,medspa,,2
180 MedSpa,180medspa.com,info@180medspa.com,info@180medspa.com,yes,ok,https://180medspa.com,medspa,nad+,1
360 MedSpas,360medspas.com,shannon@360medspas.com,shannon@360medspas.com,yes,ok,https://360medspas.com,medspa,"semaglutide, tirzepatide",7
512 AESTHETICS,512aesthetics.com,info@512aesthetics.com,info@512aesthetics.com,yes,ok,https://512aesthetics.com/contact-us/,medspa,"semaglutide, tirzepatide",5
82 Magnolia Aesthetics Reviews & Pricing,82magnolia.com,info@82magnolia.com,info@82magnolia.com,yes,ok,https://82magnolia.com,medspa,"semaglutide, tirzepatide, kpv",5
Abby Skin Clinic & FFMS Medical Spa,abbyskinmedspa.com,abbyskinclinic1@gmail.com,abbyskinclinic1@gmail.com,yes,ok,https://abbyskinmedspa.com,medspa,"nad+, ghk-cu",2
Adela Medical Spa,adelamedicalspa.com,adelamedspa7@gmail.com,adelamedspa7@gmail.com,yes,ok,https://adelamedicalspa.com,medspa,GLP-1 weight loss peptides,3
Admire Medical Aesthetics,admireonline.com,admiremedspa@gmail.com,admiremedspa@gmail.com,yes,ok,https://admireonline.com,medspa,GLP-1 weight loss peptides,4
"Advanced Women's Health Center, OB/GYN",advancedwomenshealthcenter.com,helliwellj@yahoo.com,helliwellj@yahoo.com,yes,ok,https://advancedwomenshealthcenter.com,medspa,,1
Aère Aesthetics,aereaesthetics.com,info@aereaesthetics.com,bh@aereaesthetics.com; info@aereaesthetics.com,yes,ok,https://aereaesthetics.com,medspa,"semaglutide, tirzepatide",7
Aesderma Med Spa,aesdermamedspa.com,contact@aesdermamedspa.com,contact@aesdermamedspa.com,yes,ok,https://aesdermamedspa.com,medspa,,2
Aesthetic Atelier Medical Aesthetics & Wellness,aestheticatelier.com,contact@aestheticatelier.com,contact@aestheticatelier.com,yes,ok,https://aestheticatelier.com,medspa,,1
Ageless Physique and Wellness,agelessphysique.com,agelessphysiquedacula@gmail.com,agelessphysiquedacula@gmail.com,yes,ok,https://agelessphysique.com,medspa,GLP-1 weight loss peptides,7
