vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
207 Wellness,207wellness.org,207wellnessllc@gmail.com,207wellnessllc@gmail.com,yes,ok,https://207wellness.org,medspa,,2
365 IV Drips,365ivdrips.com,info@365ivdrips.com,info@365ivdrips.com,yes,ok,https://365ivdrips.com,medspa,"semaglutide, tirzepatide, glutathione",9
3Eleven Aesthetics,3elevenaesthetics.com,hello@3elevenaesthetics.com,hello@3elevenaesthetics.com,yes,ok,https://3elevenaesthetics.com,medspa,"semaglutide, nad+",6
AAI Rejuvenation Clinic,aaiclinics.com,info@aaiclinics.com,info@aaiclinics.com,yes,ok,https://aaiclinics.com,medspa,,2
Advanced BioCell,advancedbiocell.com,care@advancedbiocell.com,bill@advancedbiocell.com; care@advancedbiocell.com,yes,ok,https://advancedbiocell.com,vendor,"nad+, glutathione",4
Advanced Health Center,advancedhealthcenter.com,info@advancedhealthcenter.com,info@advancedhealthcenter.com,yes,ok,https://advancedhealthcenter.com,medspa,,1
Advanced Infusion Center,advancedinfusion.com,aren@advancedinfusion.com,aren@advancedinfusion.com,yes,ok,https://advancedinfusion.com,medspa,glutathione,3
Aesthetic Oasis,aestheticoasis.com,info@aestheticoasis.com,aestheticoasis@outlook.com; info@aestheticoasis.com,yes,ok,https://aestheticoasis.com,medspa,GLP-1 weight loss peptides,2
Aesthetic & Wellness by Monic Menard,aestheticwellnessby-monicmenard.com,menard_monic@yahoo.com,menard_monic@yahoo.com,yes,ok,https://aestheticwellnessby-monicmenard.com,medspa,"semaglutide, tirzepatide",6
Savannah Age Management Medicine,agemanagementmed.com,info@agemanagementmed.com,info@agemanagementmed.com,yes,ok,https://agemanagementmed.com,medspa,GLP-1 weight loss peptides,9
Alaska Functional Medicine + Spa,akfunctionalmed.com,info@akfunctionalmed.com,info@akfunctionalmed.com; nfo@akfunctionalmed.com,yes,ok,https://akfunctionalmed.com,medspa,,2
Cheeky Medspa- Fairbanks,alaskacheeky.com,info@alaskacheeky.com,cheeky_medspa@outlook.com; info@alaskacheeky.com,yes,ok,https://alaskacheeky.com,medspa,"nad+, semaglutide",7
Alcheme Health Iowa,alchemehealthiowa.com,contact@alchemehealthiowa.com,contact@alchemehealthiowa.com,yes,ok,https://alchemehealthiowa.com,medspa,GLP-1 weight loss peptides,5
Alega Health,alega-health.com,info@alega-health.com,info@alega-health.com,yes,ok,https://alega-health.com,medspa,"semaglutide, tirzepatide",6
Allen Medical Aesthetics,allenmedicalaesthetics.com,frontdesk@allenmedicalaesthetics.com,frontdesk@allenmedicalaesthetics.com,yes,ok,https://allenmedicalaesthetics.com,medspa,semaglutide,5
All Facets Health & Wellness Center,allfacetswellness.com,ourteam@allfacetswellness.com,ourteam@allfacetswellness.com,yes,ok,https://allfacetswellness.com,medspa,"semaglutide, tirzepatide, liraglutide, glutathione",11
All Good Hydration & Wellness,allgoodhydration.com,allgoodhw@outlook.com,allgoodhw@outlook.com,yes,ok,https://allgoodhydration.com,vendor,glutathione,1
Amee’s Medical Spa,ameesmedicalspa.com,info@ameesmedicalspa.com,info@ameesmedicalspa.com,yes,ok,https://ameesmedicalspa.com,medspa,GLP-1 weight loss peptides,3
"IV Vitamin Therapy in Milwaukee, WI",apexmenscare.com,info@apexmenscare.com,info@apexmenscare.com,yes,ok,https://apexmenscare.com,medspa,"semaglutide, tirzepatide",7
Arbour Longevity,arbourlongevity.com,info@arbourlongevity.com,info@arbourlongevity.com,yes,ok,https://arbourlongevity.com,medspa,"semaglutide, tirzepatide, nad+, pt-141, glutathione",17
Atlanta Innovative Medicine,atlantamedicine.com,hello@atlantamedicine.com,hello@atlantamedicine.com,yes,ok,https://atlantamedicine.com,medspa,semaglutide,2
Barr Center for Innovative Pain & Regenerative Therapies,barrcenter.com,info@barrcenter.com,info@barrcenter.com,yes,ok,https://barrcenter.com,medspa,,3
Beauty Factory SD,beautyfactorysd.com,stan@beautyfactorysd.com,stan@beautyfactorysd.com,yes,ok,https://beautyfactorysd.com,medspa,"nad+, glutathione",5
Beauty Health MedSpa,beautyhealthmedspa.com,info@beautyhealthmedspa.com,info@beautyhealthmedspa.com,yes,ok,https://beautyhealthmedspa.com,medspa,"nad+, glutathione",6
Belfon Health & Aesthetics,belfonhealth.com,contact@belfonhealth.com,contact@belfonhealth.com,yes,ok,https://belfonhealth.com,medspa,"semaglutide, tirzepatide, glutathione, liraglutide",12
BioLounge,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Bloom Women's Health,bloomwh.com,hello@bloomwh.com,hello@bloomwh.com,yes,ok,https://bloomwh.com,medspa,,1
BodyLogicMD Forest Hills area,bodylogicmd.com,supplements@bodylogicmd.com,supplements@bodylogicmd.com,yes,ok,https://bodylogicmd.com,medspa,,1
BodywoRX Health and Wellness,bodyworxclinic.com,manager@bodyworxclinic.com,manager@bodyworxclinic.com,yes,ok,https://bodyworxclinic.com,medspa,,5
Boost Hydration & Wellness,boostmewelliv.com,boostmewelliv@gmail.com,boostmewelliv@gmail.com,yes,ok,https://boostmewelliv.com,medspa,"nad+, glutathione",3
Boulder Aesthetics,boulderaesthetics.com,info@boulderaesthetics.com,info@boulderaesthetics.com,yes,ok,https://boulderaesthetics.com,medspa,,1
Bright Medical Spa,bright-medical-spa.com,brightmedspa@gmail.com,brightmedspa@gmail.com; drt824@gmail.com,yes,ok,https://bright-medical-spa.com,medspa,,1
Brown Suede Aesthetic & Wellness,brownsuedeboutique.com,tyelerandericabeautyllc@gmail.com,tyelerandericabeautyllc@gmail.com,yes,ok,https://brownsuedeboutique.com,medspa,"semaglutide, nad+, glutathione",4
Cazimi Medical Aesthetics & Wellness,cazimimedspa.com,management@cazimimedspa.com,management@cazimimedspa.com,yes,ok,https://cazimimedspa.com,medspa,nad+,1
CEO2 Health,ceo2health.com,info@ceo2health.com,info@ceo2health.com,yes,ok,https://ceo2health.com,medspa,,1
Chapelle Medical Aesthetics,chapellemedicalaesthetics.com,chapellemedical@gmail.com,chapellemedical@gmail.com,yes,ok,https://chapellemedicalaesthetics.com,medspa,glutathione,3
CK Plastic Surgery,ckplasticsurgeryinc.com,ckplasticsurgeryinc@gmail.com,ckplasticsurgeryinc@gmail.com,yes,ok,https://ckplasticsurgeryinc.com,medspa,glutathione,2
Conklin Clinics,conklinclinics.com,info@conklinclinics.com,info@conklinclinics.com,yes,ok,https://conklinclinics.com,medspa,,1
CoolMed,coolmedhealth.com,info@coolmedhealth.com,info@coolmedhealth.com,yes,ok,https://coolmedhealth.com,medspa,,4
Connecticut Center For Integrative Medicine,ctcintegrative.com,info@ctcintegrative.com,info@ctcintegrative.com,yes,ok,https://ctcintegrative.com,medspa,GLP-1 weight loss peptides,3
Deluxe Beaute Spa,deluxemedspa.com,concierge@deluxemedspa.com,concierge@deluxemedspa.com,yes,ok,https://deluxemedspa.com,medspa,tirzepatide,9
Derma Medical Spa,dermamedispa.com,receptionist@dermamedispa.com,receptionist@dermamedispa.com,yes,ok,https://dermamedispa.com,medspa,,1
Dermestetics McLean,dermestetics.com,info@dermestetics.com,info@dermestetics.com,yes,ok,https://dermestetics.com,medspa,nad+,3
