vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
"360 Health Integrated Medical Boutique, PLLC",360healthimb.com,tracynp@360healthimb.com,tracynp@360healthimb.com; general@360healthimb.com,yes,ok,https://360healthimb.com,medspa,,1
"716 Mobile IV, Buffalo",716mobileiv.com,info@716mobileiv.com,info@716mobileiv.com,yes,ok,https://716mobileiv.com,medspa,"semaglutide, nad+",6
865 Wellness + Ketamine,865wellnessketamine.com,info@865wellnessketamine.com,865wellnessketamine@gmail.com; info@865wellnessketamine.com,yes,ok,https://865wellnessketamine.com,medspa,,1
"Anti-Aging &#038; Laser Institute, Providence",aalinstitute.com,info@aalinstitute.com,info@aalinstitute.com,yes,ok,https://aalinstitute.com,medspa,"semaglutide, tirzepatide",4
"Adonis Saremi, MD",adonissaremimd.com,info@adonissaremimd.com,info@adonissaremimd.com,yes,ok,https://adonissaremimd.com,medspa,"semaglutide, tirzepatide, liraglutide",12
Advanced Women&#039;s Center,advancedwomenscenter.com,okolifax@gmail.com,okolifax@gmail.com,yes,ok,https://advancedwomenscenter.com,medspa,semaglutide,2
"Agewelldr, Pompano Beach",agewelldr.com,agewelldrfl@gmail.com,agewelldrfl@gmail.com,yes,ok,https://agewelldr.com,medspa,"semaglutide, tirzepatide, retatrutide, bpc-157, nad+, ipamorelin",22
"Aire Medspa, Sarasota",airemedspa.com,support@airemedspa.com,support@airemedspa.com,yes,ok,https://airemedspa.com,medspa,GLP-1 weight loss peptides,2
"Alchemy MedSpa &#038; Wellness Center, Chattanooga",alchemymedspachatt.com,alchemychatt@gmail.com,alchemychatt@gmail.com,yes,ok,https://alchemymedspachatt.com,medspa,glutathione,2
"Alegro Health &#038; Wellness, McKinney",alegrohealth.net,coordinator@alegrohealth.net,coordinator@alegrohealth.net; appointment@alegrohealth.net,yes,ok,https://alegrohealth.net/faq,medspa,semaglutide,2
Alim Wellness Clinic,alimwellnessclinic.com,info@alimwellnessclinic.com,info@alimwellnessclinic.com,yes,ok,https://alimwellnessclinic.com,medspa,"semaglutide, liraglutide, glutathione",11
aLine Health Direct Primary Care,alinehealthdpc.com,alinehealthdpc@gmail.com,alinehealthdpc@gmail.com,yes,ok,https://alinehealthdpc.com,medspa,"semaglutide, tirzepatide",8
"Allura Skin, Laser &#038; Wellness Clinic, Fort Collins",alluraclinic.com,info@alluraclinic.com,info@alluraclinic.com,yes,ok,https://alluraclinic.com,medspa,"semaglutide, tirzepatide, nad+",5
AllWell Clinic,allwellclinics.com,support@allwellclinics.com,support@allwellclinics.com,yes,ok,https://allwellclinics.com,medspa,"semaglutide, tirzepatide",7
"American Male Medical Clinic, Lewisville",americanmalemedical.com,info@americanmalemedical.com,info@americanmalemedical.com,yes,ok,https://americanmalemedical.com,medspa,"semaglutide, ipamorelin, sermorelin, pt-141",10
"Americas Wellness Group, Sarasota",americaswellnessgroup.com,awg@americaswellnessgroup.com,awg@americaswellnessgroup.com; jupiter@americaswellnessgroup.com; psl@americaswellnessgroup.com; sarasota@americaswellnessgroup.com,yes,ok,https://americaswellnessgroup.com,medspa,"semaglutide, tirzepatide, bpc-157",10
Angelic Lift,angeliclifttrio.com,info@angeliclifttrio.com,info@angeliclifttrio.com,yes,ok,https://angeliclifttrio.com,medspa,"semaglutide, tirzepatide, liraglutide",12
Anuli Aesthetics,anulimedspa.com,anuli@anulimedspa.com,anuli@anulimedspa.com; anulicosmetics@gmail.com,yes,ok,https://anulimedspa.com,medspa,"semaglutide, tirzepatide",14
"Aponi Aesthetics, Worcester",aponiaesthetics.com,info@aponiaesthetics.com,info@aponiaesthetics.com,yes,ok,https://aponiaesthetics.com,medspa,"semaglutide, bpc-157, tb-500, nad+",6
