vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
Absolute Wellness Clinic,absolutewellnessclinic.com,admin@absolutewellnessclinic.com,admin@absolutewellnessclinic.com,yes,ok,https://absolutewellnessclinic.com,medspa,,2
"Advanced Integrative Care in Williamsville, NY",advancedintegrativecare.com,info@advancedintegrativecare.com,info@advancedintegrativecare.com,yes,ok,https://advancedintegrativecare.com,medspa,glutathione,3
Bella Vie Med Spa Skin & Wellness Clinic,aesthetikawms.com,aesthetikamedspa@gmail.com,aesthetikamedspa@gmail.com; aesthetikawms@gmail.com,yes,ok,https://aesthetikawms.com,medspa,GLP-1 weight loss peptides,7
"Dr. Michelle McElroy, DO, FACOOG",aginggracefully.co,drmcelroy@aginggracefully.co,drmcelroy@aginggracefully.co,yes,ok,https://aginggracefully.co,medspa,,1
Naturopathy By Lee ND,aimhealthcenter.com,info@aimhealthcenter.com,info@aimhealthcenter.com,yes,ok,https://aimhealthcenter.com,medspa,,1
"All About You Aesthetics And Wellness in Bowling Green, OH",allaboutyouaw.com,dot@allaboutyouaw.com,dot@allaboutyouaw.com,yes,ok,https://allaboutyouaw.com,medspa,glutathione,3
El Clinical Esthetics,allbodyhw.com,contact@allbodyhw.com,contact@allbodyhw.com,yes,ok,https://allbodyhw.com,medspa,"semaglutide, tirzepatide",7
Alluring Age,alluringage.com,hello@alluringage.com,hello@alluringage.com,yes,ok,https://alluringage.com,medspa,"semaglutide, bpc-157, tb-500, nad+, ipamorelin, cjc-1295",15
"Alora Med Spa in San Juan, PR",alora-medspa.com,info@alora-medspa.com,info@alora-medspa.com,yes,ok,https://alora-medspa.com,medspa,semaglutide,2
Amped Up Performance,ampedupperformance.com,info@ampedupperformance.com,info@ampedupperformance.com,yes,ok,https://ampedupperformance.com,medspa,,2
Miami Anti-Aging Institute,antiagingmiami.com,info@antiagingmiami.com,info@antiagingmiami.com; u003einfo@antiagingmiami.com,yes,ok,https://antiagingmiami.com,medspa,,3
Living True Wellness,arenewedyouny.com,frontdesk@arenewedyouny.com,frontdesk@arenewedyouny.com,yes,ok,https://arenewedyouny.com/contact-us,medspa,GLP-1 weight loss peptides,4
Mind Body Zen,ariawellnow.com,hello@ariawellnow.com,hello@ariawellnow.com,yes,ok,https://ariawellnow.com,medspa,semaglutide,6
"Aryze Well in Pontiac, MI",aryzewell.com,contact@aryzewell.com,contact@aryzewell.com; %20contact@aryzewell.com,yes,ok,https://aryzewell.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",11
Center for Modern Aging,augustaa2m.com,stojino@augustaa2m.com,stojino@augustaa2m.com,yes,ok,https://augustaa2m.com,medspa,"nad+, glutathione",4
Avanti Skin Center of Louisville,avantioflouisville.com,info@avantioflouisville.com,info@avantioflouisville.com,yes,ok,https://avantioflouisville.com,medspa,nad+,1
"Balance Regenerative, Sports, and Rehabilitation Medicine",balancebklyn.com,info@balancebklyn.com,info@balancebklyn.com,yes,ok,https://balancebklyn.com,medspa,,2
Balance Medical,balancemedicalok.com,contact@balancemedicalok.com,contact@balancemedicalok.com,yes,ok,https://balancemedicalok.com,medspa,,2
Bare Skin Aesthetics,bareskinaesthetics605.com,bareskinaesthetics605@gmail.com,bareskinaesthetics605@gmail.com,yes,ok,https://bareskinaesthetics605.com,medspa,,2
Beauty Bee Medical and Aesthetics,beautybeemedical.com,hello@beautybeemedical.com,hello@beautybeemedical.com; flowzaiofficial@gmail.com; info.glowzai129@gmail.com,yes,ok,https://beautybeemedical.com,medspa,semaglutide,2
Bella Bar Medspa,bellabartx.com,bellabarmedspa@gmail.com,bellabarmedspa@gmail.com; jessmarren@gmail.com,yes,ok,https://bellabartx.com,medspa,GLP-1 weight loss peptides,4
BellaTox Boutique,bellatoxboutique.com,bellatox502@gmail.com,bellatox502@gmail.com,yes,ok,https://bellatoxboutique.com,medspa,"semaglutide, tirzepatide",8
Beyond Wellness Hillcrest,beyondwellnessar.com,info@beyondwellnessar.com,info@beyondwellnessar.com,yes,ok,https://beyondwellnessar.com,medspa,,3
"Bio Cell Wellness Group, llc",biocellwellnessgroup.com,biocellwellnessgroup@gmail.com,biocellwellnessgroup@gmail.com,yes,ok,https://biocellwellnessgroup.com,medspa,semaglutide,4
Biojust,biojust.com,info@biojust.com,info@biojust.com,yes,ok,https://biojust.com,medspa,,4
Alive IV and Wellness,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Bio-Vital Men's Clinic,biovitalmen.com,info@biovitalmen.com,info@biovitalmen.com,yes,ok,https://biovitalmen.com,medspa,,2
BluZone LLC,bluzonemd.com,careteam@bluzonemd.com,careteam@bluzonemd.com,yes,ok,https://bluzonemd.com,medspa,semaglutide,2
"BMore Hydrated in Baltimore, MD",bmorehydrated.com,drkircher@bmorehydrated.com,impallari@gmail.com; drkircher@bmorehydrated.com,yes,ok,https://bmorehydrated.com,medspa,"nad+, glutathione",4
BodylogicMD of Columbus,bodylogicmd.fit,wellness@bodylogicmd.com,wellness@bodylogicmd.com,yes,ok,https://bodylogicmd.fit,vendor,,1
BodyLogics and Aesthetics,bodylogics.net,info@bodylogics.net,moreinfo@bodylogics.net; info@bodylogics.net; team@bodylogics.net,yes,ok,https://bodylogics.net,medspa,,5
"Bonfire Wellness & IV Therapy in North Andover, MA",bonfirewellness.com,info@bonfirewellness.com,info@bonfirewellness.com,yes,ok,https://bonfirewellness.com,medspa,nad+,2
"Beauty & Wellness Med Spa in North Port, FL",bwellmedicalspa.com,info@bwellmedicalspa.com,info@bwellmedicalspa.com,yes,ok,https://bwellmedicalspa.com,medspa,semaglutide,4
"Chattanooga Men's Clinic, Powered by Menspro™",chattanoogamensclinic.com,info@chattanoogamensclinic.com,info@chattanoogamensclinic.com,yes,ok,https://chattanoogamensclinic.com,medspa,"semaglutide, liraglutide",5
Chicago Medspa,chicagomedspa.com,hello@chicagomedspa.com,hello@chicagomedspa.com,yes,ok,https://chicagomedspa.com,medspa,"nad+, glutathione",4
Charleston Hormone Services (CHS),chshormone.com,patients@chshormone.com,patients@chshormone.com,yes,ok,https://chshormone.com,medspa,,2
Cellular Intelligence Med Spa,cimedspa.com,info@cimedspa.com,info@cimedspa.com,yes,ok,https://cimedspa.com,medspa,,2
Clinic For Him,clinicforhim.com,contact@clinicforhim.com,contact@clinicforhim.com,yes,ok,https://clinicforhim.com,medspa,,1
CMA,cmamedicine.com,info@cmamedicine.com,info@cmamedicine.com,yes,ok,https://cmamedicine.com,medspa,,1
COASTAL MD,coastalmdli.com,info@coastalmdli.com,info@coastalmdli.com,yes,ok,https://coastalmdli.com,vendor,,4
ColoradoTRT,coloradotrt.com,tj@coloradotrt.com,tj@coloradotrt.com; erin@coloradotrt.com,yes,ok,https://coloradotrt.com,medspa,"bpc-157, tb-500, thymosin beta-4, ipamorelin, tesamorelin, ghk-cu",8
"Concierge Nurse Services in Redmond, WA",conciergenursingseattle.com,info@conciergenursingseattle.com,info@conciergenursingseattle.com,yes,ok,https://conciergenursingseattle.com,medspa,"nad+, glutathione",4
Testosterone and TRT Therapy at Coral Gables Wellness,coral-gables-fl.testosterone-center.com,info@testosterone-center.com,info@testosterone-center.com,yes,ok,https://coral-gables-fl.testosterone-center.com,medspa,semaglutide,3
Core Wellness + Longevity,corelongevity.com,info@corelongevity.com,info@corelongevity.com; ryan@corelongevity.com,yes,ok,https://corelongevity.com,medspa,"tirzepatide, bpc-157, nad+, sermorelin",6
"CreatIV Hydration in San Diego, CA",creativhydration.com,info@creativhydration.com,info@creativhydration.com,yes,ok,https://creativhydration.com,medspa,"nad+, glutathione",7
Crystal Aesthetics and Wellness Med Spa,crystalaestheticsandwellness.com,crystalaesthetics@yahoo.com,crystalaesthetics@yahoo.com,yes,ok,https://crystalaestheticsandwellness.com,medspa,"semaglutide, tirzepatide",4
"CuraCore Wellness in North Charleston, SC",curacorewellness.com,info@curacorewellness.com,info@curacorewellness.com,yes,ok,https://curacorewellness.com,medspa,"thymosin alpha-1, glutathione",5
Defy Collective,defy-collective.com,info@defy-collective.com,defycollectivellc@gmail.com; info@defy-collective.com,yes,ok,https://defy-collective.com,medspa,GLP-1 weight loss peptides,3
Defy Medical Spa,defymedicalspa.com,defymedicalspa@gmail.com,defymedicalspa@gmail.com,yes,ok,https://defymedicalspa.com,medspa,"semaglutide, tirzepatide",2
Deland Medical Wellness Center LLC,delandmedicalwellness.com,info@delandmedicalwellness.com,info@delandmedicalwellness.com,yes,ok,https://delandmedicalwellness.com,medspa,GLP-1 weight loss peptides,5
"Desert Renewal in Tucson, AZ",desert-renewal.com,info@desert-renewal.com,info@desert-renewal.com; lisa@desert-renewal.com,yes,ok,https://desert-renewal.com,medspa,GLP-1 weight loss peptides,4
Integrative Health Solutions,docbron.com,docbron@docbron.com,docbron@docbron.com,yes,ok,https://docbron.com,vendor,GLP-1 weight loss peptides,7
"Dean P. Kane, MD and Lauri P. Kane,ScD",drdeankane.com,lauri@drdeankane.com,lauri@drdeankane.com,yes,ok,https://drdeankane.com,medspa,semaglutide,2
"Drip Drop IV Hydration & Wellness in Raleigh, NC",dripdropivhydration.com,dripdropivhw@gmail.com,dripdropivhw@gmail.com,yes,ok,https://dripdropivhydration.com,medspa,,1
"Drip IV Hydration And Aesthetics in Toledo, OH",dripmed.com,medical@dripmed.com,medical@dripmed.com,yes,ok,https://dripmed.com,medspa,"nad+, glutathione",6
Drips Spa,dripsspa.com,info@dripsspa.com,info@dripsspa.com,yes,ok,https://dripsspa.com,medspa,"bpc-157, ipamorelin, tesamorelin, cjc-1295, ghk-cu",11
"Dr Leila Kirdani, Quality of Life Medicine",drleila.com,info@drleila.com,info@drleila.com,yes,ok,https://drleila.com,medspa,,1
Dr. Shannon Wellness & Weight Loss,drshannonwellness.com,manager@drshannonwellness.com,manager@drshannonwellness.com,yes,ok,https://drshannonwellness.com,medspa,"semaglutide, tirzepatide",10
Superb Wellness Center,drweng.com,advancedmedicine24@gmail.com,advancedmedicine24@gmail.com,yes,ok,https://drweng.com,medspa,"semaglutide, tirzepatide",5
"Duuuval Drips in Jacksonville Beach, FL",duuuvaldrips.com,duuuvaldrips@gmail.com,duuuvaldrips@gmail.com,yes,ok,https://duuuvaldrips.com,medspa,GLP-1 weight loss peptides,4
Eden Aesthetics,edenclinicny.com,admin@edenclinicny.com,admin@edenclinicny.com,yes,ok,https://edenclinicny.com,medspa,,1
Ehden Medical Aesthetics,ehdenaesthetics.com,info@ehdenaesthetics.com,info@ehdenaesthetics.com,yes,ok,https://ehdenaesthetics.com,medspa,"semaglutide, tirzepatide",6
Eleven Detroit Medical Spa,elevendetroit.co,eleven11detroit@gmail.com,eleven11detroit@gmail.com,yes,ok,https://elevendetroit.co,medspa,nad+,2
