vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
IV Hydration,608wellnessandskinco.com,608hydrate@gmail.com,608hydrate@gmail.com,yes,ok,https://608wellnessandskinco.com,medspa,"tirzepatide, retatrutide, nad+, glutathione",7
IV Therapy Blood Withdrawal,acls123.com,support@acls123.com,support@acls123.com,yes,ok,https://acls123.com,medspa,,1
IV Therapies,advancedbraincentersofva.com,info@advancedbraincentersofva.com,info@advancedbraincentersofva.com,yes,ok,https://advancedbraincentersofva.com,medspa,"nad+, glutathione",3
Aesthetic Beauty RI,aestheticbeautyri.com,aestheticbeautyri@gmail.com,aestheticbeautyri@gmail.com,yes,ok,https://aestheticbeautyri.com,medspa,,1
Ageless Aesthetics,agelessaestheticsrva.com,contact@agelessaestheticsrva.com,contact@agelessaestheticsrva.com,yes,ok,https://agelessaestheticsrva.com,medspa,,1
Ageless Health Medicine,ahmedicine.com,hello@ahmedicine.com,hello@ahmedicine.com,yes,ok,https://ahmedicine.com,medspa,,1
AnthroMedical Center,anthromedicalcenter.com,support@anthromedicalcenter.com,support@anthromedicalcenter.com,yes,ok,https://anthromedicalcenter.com,medspa,,2
IV Drip,asmdaesthetics.com,hello@asmdaesthetics.com,hello@asmdaesthetics.com,yes,ok,https://asmdaesthetics.com,medspa,semaglutide,7
Beautiful You Medical Spa,beautifulyoumedspa.com,info@beautifulyoumedspa.com,info@beautifulyoumedspa.com,yes,ok,https://beautifulyoumedspa.com,medspa,,1
BeautyCo,beautycoraleigh.com,hello@beautycoraleigh.com,hello@beautycoraleigh.com; %20hello@beautycoraleigh.com,yes,ok,https://beautycoraleigh.com,medspa,GLP-1 weight loss peptides,3
"IV Vitamin Infusions Therapy in San Marcos, CA",bffmedical.com,info@bffmedical.com,info@bffmedical.com,yes,ok,https://bffmedical.com,medspa,"nad+, ghk-cu",9
Providence Zidell Center for Integrative Medicine,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
VITAMIN IV THERAPY IN STATEN ISLAND,butterflyaesthetics.nyc,butterflyaestheticsinc@gmail.com,butterflyaestheticsinc@gmail.com,yes,ok,https://butterflyaesthetics.nyc,medspa,,1
"IV Therapy Colleyville, TX",calistalaser.com,info@calistalaser.com,info@calistalaser.com,yes,ok,https://calistalaser.com,medspa,"semaglutide, tirzepatide",11
Care Nashville,carenashville.com,info@carenashville.com,info@carenashville.com,yes,ok,https://carenashville.com,medspa,"nad+, glutathione",5
IV Nutritional Therapy,carolinaintegrativemedicine.com,info@carolinaintegrativemedicine.com,info@carolinaintegrativemedicine.com,yes,ok,https://carolinaintegrativemedicine.com,medspa,"semaglutide, tirzepatide, tesamorelin, cjc-1295, 5-amino-1mq",11
IV Hydration,ciaobellaaesthetic.com,ciaobellaaesthetic@gmail.com,ciaobellaaesthetic@gmail.com,yes,ok,https://ciaobellaaesthetic.com,medspa,semaglutide,2
ClinIVoy,clinivoy.com,info@clinivoy.com,info@clinivoy.com; %20info@clinivoy.com,yes,ok,https://clinivoy.com,medspa,,1
Coastalivdripbar,coastaliv.com,holsms@icloud.com,holsms@icloud.com,yes,ok,https://coastaliv.com,medspa,glutathione,2
Cosmetic Lounge,cosmeticloungemd.com,info@cosmeticloungemd.com,info@cosmeticloungemd.com,yes,ok,https://cosmeticloungemd.com,medspa,,1
"St. George IV Drip Therapy: Rejuvenate, Rehydrate, and Revitalize with",deserthealing.org,hello@deserthealing.org,hello@deserthealing.org,yes,ok,https://deserthealing.org,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, thymosin beta-4, nad+",16
Diara Clinics,diaraclinics.com,info@diaraclinics.com,info@diaraclinics.com,yes,ok,https://diaraclinics.com,medspa,"nad+, glutathione",2
"IV Therapy in Laguna Beach, CA",dolcemd.com,contact@dolcemd.com,contact@dolcemd.com,yes,ok,https://dolcemd.com,medspa,"semaglutide, nad+, glutathione",8
NYC IV Hydration Therapy at Bellalaser,dripbybella.com,bellagreenpoint@gmail.com,bellagreenpoint@gmail.com,yes,ok,https://dripbybella.com,medspa,,1
Drip Vibe Wellness,dripvibewellness.com,info@dripvibewellness.com,info@dripvibewellness.com,yes,ok,https://dripvibewellness.com,medspa,,2
"IV Vitamin Infusion Therapy in Kingsport, TN",eleonmedicalaesthetics.com,info@eleonmedicalaesthetics.com,info@eleonmedicalaesthetics.com,yes,ok,https://eleonmedicalaesthetics.com,medspa,semaglutide,6
Elevated Self PLLC,elevated-self.com,contactus@elevated-self.com,contactus@elevated-self.com,yes,ok,https://elevated-self.com,medspa,GLP-1 weight loss peptides,3
Elevate IVy,elevateivynp.com,office@elevateivynp.com,office@elevateivynp.com,yes,ok,https://elevateivynp.com,medspa,glutathione,2
IV Therapy,emacolorado.com,frontdesk@emacolorado.com,frontdesk@emacolorado.com,yes,ok,https://emacolorado.com,medspa,"nad+, glutathione",4
"Med Spa in Solana Beach, CA 92075",fioraaesthetics.com,fioraaestheticssb@gmail.com,fioraaestheticssb@gmail.com,yes,ok,https://fioraaesthetics.com,medspa,"nad+, glutathione",3
Fong Precision Care Wellness & Aesthetics,fongprecisioncare.com,info@fongprecisioncare.com,info@fongprecisioncare.com,yes,ok,https://fongprecisioncare.com,medspa,"nad+, glutathione",5
St. Louis Mobile IV Therapy,freshinfusioniv.com,info@freshinfusioniv.com,info@freshinfusioniv.com,yes,ok,https://freshinfusioniv.com,medspa,"nad+, glutathione",5
FrostFit Cryo,frostfitcryo.com,frostfitcryo@gmail.com,frostfitcryo@gmail.com,yes,ok,https://frostfitcryo.com,medspa,,1
"IV Vitamin Infusions in Taylorsville, UT",geminiglowut.com,geminiglow@gmail.com,geminiglow@gmail.com,yes,ok,https://geminiglowut.com,medspa,,3
IV Hydration Therapy & Vitamin Infusion,getwelluc.org,admin@getwelluc.org,admin@getwelluc.org,yes,ok,https://getwelluc.org,medspa,GLP-1 weight loss peptides,3
Glo IV Spa,gloivspa.com,wellness@gloivspa.com,wellness@gloivspa.com,yes,ok,https://gloivspa.com,medspa,"nad+, glutathione",4
Glow Medical Aesthetics,glowmedspact.com,glowwlfd@gmail.com,glowwlfd@gmail.com,yes,ok,https://glowmedspact.com,medspa,"semaglutide, glutathione",8
Services,goldivywellness.com,info@goldivywellness.com,info@goldivywellness.com,yes,ok,https://goldivywellness.com,medspa,,3
Gravity One Studio,gravityonestudio.com,hello@gravityonestudio.com,hello@gravityonestudio.com,yes,ok,https://gravityonestudio.com,medspa,,1
"IV Therapy & Hydration Services in Waipahu, Oahu",gyfitness.org,info@gyfitness.org,info@gyfitness.org; support@gyfitness.org,yes,ok,https://gyfitness.org,medspa,bpc-157,2
HB Aesthetics,hbaestheticslou.com,hbaesthetics.lou@gmail.com,hbaesthetics.lou@gmail.com; hvincentlmt@gmail.com,yes,ok,https://hbaestheticslou.com,medspa,GLP-1 weight loss peptides,3
Healios Laser Therapy,healioslasertherapy.com,info@healioslasertherapy.com,info@healioslasertherapy.com,yes,ok,https://healioslasertherapy.com,medspa,,1
Hello Lovely Esthetique,hellolovelyesthetique.com,hellolovelyesthetique@gmail.com,hellolovelyesthetique@gmail.com,yes,ok,https://hellolovelyesthetique.com,medspa,"nad+, sermorelin",4
IV Therapy,hivetherapy.org,contact@hivetherapy.org,contact@hivetherapy.org,yes,ok,https://hivetherapy.org,vendor,GLP-1 weight loss peptides,3
"IV Therapy in Rogers, AR",holland-health.com,contactus@holland-health.com,contactus@holland-health.com,yes,ok,https://holland-health.com,medspa,GLP-1 weight loss peptides,6
HydraHealth IV,hydrahealthiv.com,info@hydrahealthiv.com,info@hydrahealthiv.com,yes,ok,https://hydrahealthiv.com,medspa,"nad+, glutathione",4
About Hydrate Cape Cod,hydratecapecod.com,lisa@hydratecapecod.com,lisa@hydratecapecod.com,yes,ok,https://hydratecapecod.com,medspa,"semaglutide, tirzepatide, nad+",10
Infinity IV Hydration,infinityivh.com,info@infinityivh.com,info@infinityivh.com,yes,ok,https://infinityivh.com,medspa,"semaglutide, glutathione",3
"IV Nutritional Therapy in Saratoga Springs, Utah",infusezenmedspa.com,info@infusezenmedspa.com,info@infusezenmedspa.com; infusezenmedspa@gmail.com,yes,ok,https://infusezenmedspa.com,medspa,semaglutide,6
Introspect Wellness,introspect-wellness.com,hello@introspect-wellness.com,hello@introspect-wellness.com; staff@introspect-wellness.com; %20staff@introspect-wellness.com,yes,ok,https://introspect-wellness.com,medspa,GLP-1 weight loss peptides,3
IV ENERGY INFUSION,ivenergyinfusion.com,info@ivenergyinfusion.com,info@ivenergyinfusion.com,yes,ok,https://ivenergyinfusion.com,medspa,"semaglutide, glutathione, tirzepatide",7
IVitalize Mobile,ivitalizemobile.com,info@ivitalizemobile.com,info@ivitalizemobile.com,yes,ok,https://ivitalizemobile.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",10
JC Signature Aesthetics,jcsignatureaesthetics.com,jcsignatureaesthetics@gmail.com,jcsignatureaesthetics@gmail.com,yes,ok,https://jcsignatureaesthetics.com,medspa,GLP-1 weight loss peptides,3
JK Aesthetics,jkaesthetics.co,jklaueraesthetics@gmail.com,jklaueraesthetics@gmail.com,yes,ok,https://jkaesthetics.co,medspa,nad+,3
Home,kabafusion.com,info@kabafusion.com,info@kabafusion.com; nutrition@kabafusion.com,yes,ok,https://kabafusion.com,medspa,,1
MOBO Med Spa,lavitaebellawellnesscenter.com,april@lavitaebellawellnesscenter.com,april@lavitaebellawellnesscenter.com,yes,ok,https://lavitaebellawellnesscenter.com,medspa,GLP-1 weight loss peptides,7
Grandville Medspa,lunamichigan.com,katrina@lunamichigan.com,katrina@lunamichigan.com,yes,ok,https://lunamichigan.com,medspa,GLP-1 weight loss peptides,3
Luxe Beauty & Aesthetics LLC,luxebeautyandaesthetics.com,luxebeautyandaestheticsllc@yahoo.com,luxebeautyandaestheticsllc@yahoo.com,yes,ok,https://luxebeautyandaesthetics.com,medspa,,1
