vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
"Mountain View Functional Medicine, PLLC",aaronpottsnd.com,aaronpottsnd@gmail.com,aaronpottsnd@gmail.com; drpottsnd@gmail.com,yes,ok,https://aaronpottsnd.com,medspa,,2
Revive Skin and Med Spa,abc-wellness.com,drculik@gmail.com,drculik@gmail.com,yes,ok,https://abc-wellness.com,vendor,glutathione,1
Ala Moana Aesthetics,alamoanaesthetics.com,jamiehong229@gmail.com,jamiehong229@gmail.com,yes,ok,https://alamoanaesthetics.com,medspa,"semaglutide, tirzepatide, glutathione",9
Restoration Wellness,allbodyhw.com,contact@allbodyhw.com,contact@allbodyhw.com,yes,ok,https://allbodyhw.com,medspa,"semaglutide, tirzepatide",7
"Amor Aesthetics, Billings, MT",amoraestheticsmt.com,hello@amoraestheticsmt.com,hello@amoraestheticsmt.com,yes,ok,https://amoraestheticsmt.com,medspa,,2
Artisan Beauté,artisanbeaute.com,info@artisanbeaute.com,info@artisanbeaute.com,yes,ok,https://artisanbeaute.com,medspa,GLP-1 weight loss peptides,6
Blue Alchemy IV Hydration+Wellness Infusions,augustaa2m.com,stojino@augustaa2m.com,stojino@augustaa2m.com,yes,ok,https://augustaa2m.com,medspa,"nad+, glutathione",4
Be You Med Spa,be-you-medspa.com,bebeautiful@be-you-medspa.com,bebeautiful@be-you-medspa.com,yes,ok,https://be-you-medspa.com,medspa,semaglutide,3
Beau Luke Medical Spa,beauluke.com,info@beauluke.com,info@beauluke.com,yes,ok,https://beauluke.com,medspa,GLP-1 weight loss peptides,4
Flawless,beflawlessmn.com,admin@beflawlessmn.com,%20admin@beflawlessmn.com; admin@beflawlessmn.com,yes,ok,https://beflawlessmn.com,medspa,semaglutide,3
Bella Medical Spa,bellamedspa.com,inquiry@bellamedspa.com,inquiry@bellamedspa.com,yes,ok,https://bellamedspa.com,medspa,GLP-1 weight loss peptides,4
Harley True,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Bonus Image Aesthetics APM LLC,bonusimagenola.com,info@bonusimagenola.com,info@bonusimagenola.com,yes,ok,https://bonusimagenola.com,medspa,glutathione,1
Debra Wood Acupuncture Wellness,boston.dexafit.com,boston@dexafit.com,boston@dexafit.com,yes,ok,https://boston.dexafit.com,medspa,GLP-1 weight loss peptides,2
Botanical Nail and Skin Studio,botanicalnailandskinstudio.com,info@botanicalnailandskinstudio.com,info@botanicalnailandskinstudio.com,yes,ok,https://botanicalnailandskinstudio.com,medspa,glutathione,1
Ben Cleveland Wellness Center,chestnutwellness.com,admin@chestnutwellness.com,admin@chestnutwellness.com,yes,ok,https://chestnutwellness.com,medspa,semaglutide,6
