vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
"IV Vitamin Therapy in Kennesaw, GA",32medspa.com,info@32medspa.com,info@32medspa.com; beautymedspa32@outlook.com; brookstone32dental@gmail.com,yes,ok,https://32medspa.com,medspa,,1
"AAAesthetics DNP Health, LLC",aaestheticswy.com,office@aaestheticswy.com,aaestheticswy@gmail.com; office@aaestheticswy.com,yes,ok,https://aaestheticswy.com,medspa,GLP-1 weight loss peptides,3
((RELEASE)) Float Spa,aaronpottsnd.com,aaronpottsnd@gmail.com,aaronpottsnd@gmail.com; drpottsnd@gmail.com,yes,ok,https://aaronpottsnd.com,medspa,,2
Abundant Life Wellness Center,abundantlifewellnesscenter.com,info@abundantlifewellnesscenter.com,info@abundantlifewellnesscenter.com,yes,ok,https://abundantlifewellnesscenter.com,medspa,nad+,5
Accelerate,acceleratemobileiv.com,acceleratemobileiv@gmail.com,acceleratemobileiv@gmail.com,yes,ok,https://acceleratemobileiv.com,medspa,,1
IV Therapy Kissimmee,acumedgroup.com,clinic@acumedgroup.com,clinic@acumedgroup.com,yes,ok,https://acumedgroup.com,medspa,,1
IV Hydration,advancedoptimalhealthcare.com,info@advancedoptimalhealthcare.com,info@advancedoptimalhealthcare.com,yes,ok,https://advancedoptimalhealthcare.com,medspa,glutathione,4
"IV Therapy in Flemington, NJ",advmedicalspa.com,advmedicalspa15@gmail.com,advmedicalspa15@gmail.com,yes,ok,https://advmedicalspa.com,medspa,GLP-1 weight loss peptides,4
"Aesthetic Essentials of Augusta, LLC",aeaugusta.com,sarah@aeaugusta.com,sarah@aeaugusta.com; tammy@aeaugusta.com,yes,ok,https://aeaugusta.com,medspa,,3
Aesthetic Evolution,aestheticevolutiongr.com,aestheticevolutiongr@gmail.com,aestheticevolutiongr@gmail.com,yes,ok,https://aestheticevolutiongr.com,medspa,"nad+, glutathione",5
Inner Balance Integrative Medicine,aestheticmindmd.com,support@aestheticmindmd.com,support@aestheticmindmd.com,yes,ok,https://aestheticmindmd.com,medspa,"semaglutide, tirzepatide, nad+, sermorelin, glutathione",9
Gameday Men's Health San Marcos,aestheticsofcentraltexas.com,info@aestheticsofcentraltexas.com,info@aestheticsofcentraltexas.com,yes,ok,https://aestheticsofcentraltexas.com,medspa,"semaglutide, tirzepatide",6
Ageless Aesthetics,ageless-in-seattle.com,agelessinseattle@icloud.com,agelessinseattle@icloud.com,yes,ok,https://ageless-in-seattle.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",13
Ageless Health Medicine,ahmedicine.com,hello@ahmedicine.com,hello@ahmedicine.com,yes,ok,https://ahmedicine.com,medspa,,1
Align Injectable Aesthetics,align918.com,info@align918.com,info@align918.com,yes,ok,https://align918.com,medspa,semaglutide,1
Alinea Health,alineahealth.us,info@alineahealth.us,info@alineahealth.us,yes,ok,https://alineahealth.us,medspa,GLP-1 weight loss peptides,2
Alive IV Therapy,aliveivtherapy.net,aliveiv2023@gmail.com,aliveiv2023@gmail.com,yes,ok,https://aliveivtherapy.net,medspa,,1
Home Infusion Services Brookline MA,allhourshomehealth.com,info@allhourshomehealth.com,info@allhourshomehealth.com,yes,ok,https://allhourshomehealth.com,medspa,,1
IV Therapy,alpineclinic.net,alpineclinic@hotmail.com,alpineclinic@hotmail.com,yes,ok,https://alpineclinic.net,medspa,,2
Angel Face Injections,angelfaceinjections.com,info@angelfaceinjections.com,angelfaceinjectionsboston@gmail.com; info@angelfaceinjections.com,yes,ok,https://angelfaceinjections.com,medspa,,1
Aralia Health,araliahealth.com,hello@araliahealth.com,hello@araliahealth.com,yes,ok,https://araliahealth.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",8
"IV Hydration Therapy In Brandon, FL",arcanumaesthetics.com,info@arcanumaesthetics.com,info@arcanumaesthetics.com; %20info@arcanumaesthetics.com; admin@arcanumaesthetics.com,yes,ok,https://arcanumaesthetics.com,medspa,"tirzepatide, glutathione",4
IV Nutrition Therapy in Highlands Ranch and Littleton,arnewellnesscentercolorado.com,arnewellnesscenterco@gmail.com,arnewellnesscenterco@gmail.com,yes,ok,https://arnewellnesscentercolorado.com,medspa,glutathione,3
At Your Best Wellness & Aesthetics Nursing Corp,atyourbestwellness.com,contact@atyourbestwellness.com,contact@atyourbestwellness.com,yes,ok,https://atyourbestwellness.com,medspa,,2
Beauty and Grit,beautyandgritspa.com,beautyandgritconnect@gmail.com,beautyandgritconnect@gmail.com,yes,ok,https://beautyandgritspa.com,medspa,"nad+, glutathione",6
