vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
TwelveStone Infusion Center Memphis (Germantown),12stonehealth.com,info@12stonehealth.com,chaplain@12stonehealth.com; info@12stonehealth.com,yes,ok,https://12stonehealth.com,medspa,,1
207 Wellness,207wellness.org,207wellnessllc@gmail.com,207wellnessllc@gmail.com,yes,ok,https://207wellness.org,medspa,,2
Ageless Aesthetics,ageless-in-seattle.com,agelessinseattle@icloud.com,agelessinseattle@icloud.com,yes,ok,https://ageless-in-seattle.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",13
"IV Therapy in Miami Lakes, FL",aglowmiami.com,amedicalservices@yahoo.com,amedicalservices@yahoo.com,yes,ok,https://aglowmiami.com,medspa,semaglutide,1
Advanced Hormone Therapy and Wellness,ahtawellness.com,info@ahtawellness.com,info@ahtawellness.com,yes,ok,https://ahtawellness.com,medspa,,2
Aledo Empowered Wellness,aledoempoweredwellness.com,info@aledoempoweredwellness.com,info@aledoempoweredwellness.com,yes,ok,https://aledoempoweredwellness.com,medspa,GLP-1 weight loss peptides,3
Allied Infusion Services,alliedinfusion.com,info@alliedinfusion.com,orders@alliedinfusion.com; info@alliedinfusion.com,yes,ok,https://alliedinfusion.com,medspa,,1
All In Family Medicine,allinfamilymed.com,info@allinfamilymed.com,info@allinfamilymed.com,yes,ok,https://allinfamilymed.com,medspa,"semaglutide, tirzepatide, dulaglutide",10
Allure Aesthetics LLC,allureaestheticsspa.at,allureaesthics21@gmail.com,allureaesthics21@gmail.com,yes,ok,https://allureaestheticsspa.at,medspa,semaglutide,2
Ambiente Gallerie Chiropractic & Wellness Clinic Minneapolis,ambientegallerie.com,info@ambientegallerie.com,info@ambientegallerie.com,yes,ok,https://ambientegallerie.com,vendor,,1
A New Creation Clinic and Medi-Spa,anewcreationclinicandmedispa.com,anewcreationclinicandmedispa@outlook.com,anewcreationclinicandmedispa@outlook.com,yes,ok,https://anewcreationclinicandmedispa.com,medspa,,2
